00:57:09.921 WARN  ~~ LOOPS: 15. ENTITY #: 1361//903. VIEW #: 2. BACKLOGGED :: 107.200%! ~~ 
01:02:19.455 WARN  Total collision time: 76 
01:02:19.455 WARN  Total cycle time: 349 
01:02:19.455 WARN  Total player update time: 56 
01:02:19.455 WARN  Total lb+minimap processing time: 159 
01:02:19.455 WARN  Total entity physics calculation time: 21 
01:02:19.455 WARN  Total entity life+thought cycle time: 60 
01:02:19.456 WARN  Total entity selfie-taking time: 23 
01:02:19.456 WARN  Total time: 840 
01:02:22.853 WARN  ~~ LOOPS: 13. ENTITY #: 1770//531. VIEW #: 2. BACKLOGGED :: 111.462%! ~~ 
01:02:22.853 WARN  Total activation time: 88 
01:02:22.853 WARN  Total collision time: 128 
01:02:22.853 WARN  Total cycle time: 267 
01:02:22.853 WARN  Total player update time: 57 
01:02:22.853 WARN  Total lb+minimap processing time: 168 
01:02:22.853 WARN  Total entity physics calculation time: 22 
01:02:22.854 WARN  Total entity life+thought cycle time: 129 
01:02:22.854 WARN  Total entity selfie-taking time: 25 
01:02:22.854 WARN  Total time: 884 
01:02:24.064 WARN  ~~ LOOPS: 13. ENTITY #: 1738//729. VIEW #: 2. BACKLOGGED :: 120.000%! ~~ 
01:02:24.064 WARN  Total activation time: 115 
01:02:24.064 WARN  Total collision time: 130 
01:02:24.064 WARN  Total cycle time: 275 
01:02:24.064 WARN  Total player update time: 102 
01:02:24.064 WARN  Total lb+minimap processing time: 178 
01:02:24.064 WARN  Total entity physics calculation time: 18 
01:02:24.064 WARN  Total entity life+thought cycle time: 83 
01:02:24.064 WARN  Total entity selfie-taking time: 26 
01:02:24.065 WARN  Total time: 927 
01:02:25.256 WARN  ~~ LOOPS: 12. ENTITY #: 1490//610. VIEW #: 2. BACKLOGGED :: 135.000%! ~~ 
01:02:25.257 WARN  Total activation time: 92 
01:02:25.257 WARN  Total collision time: 107 
01:02:25.257 WARN  Total cycle time: 341 
01:02:25.257 WARN  Total player update time: 64 
01:02:25.257 WARN  Total lb+minimap processing time: 180 
01:02:25.257 WARN  Total entity physics calculation time: 16 
01:02:25.257 WARN  Total entity life+thought cycle time: 59 
01:02:25.257 WARN  Total entity selfie-taking time: 17 
01:02:25.257 WARN  Total time: 876 
01:02:26.405 WARN  ~~ LOOPS: 14. ENTITY #: 1333//357. VIEW #: 2. BACKLOGGED :: 101.571%! ~~ 
01:02:26.405 WARN  Total activation time: 88 
01:02:26.405 WARN  Total collision time: 123 
01:02:26.405 WARN  Total cycle time: 263 
01:02:26.405 WARN  Total player update time: 40 
01:02:26.405 WARN  Total lb+minimap processing time: 126 
01:02:26.405 WARN  Total entity physics calculation time: 16 
01:02:26.405 WARN  Total entity life+thought cycle time: 68 
01:02:26.405 WARN  Total entity selfie-taking time: 23 
01:02:26.405 WARN  Total time: 747 
01:02:31.103 WARN  ~~ LOOPS: 11. ENTITY #: 2089//861. VIEW #: 2. BACKLOGGED :: 171.545%! ~~ 
01:02:31.103 WARN  Total activation time: 104 
01:02:31.103 WARN  Total collision time: 282 
01:02:31.103 WARN  Total cycle time: 242 
01:02:31.103 WARN  Total player update time: 91 
01:02:31.103 WARN  Total lb+minimap processing time: 225 
01:02:31.103 WARN  Total entity physics calculation time: 18 
01:02:31.103 WARN  Total entity life+thought cycle time: 119 
01:02:31.103 WARN  Total entity selfie-taking time: 23 
01:02:31.104 WARN  Total time: 1104 
01:02:32.385 WARN  ~~ LOOPS: 9. ENTITY #: 2291//1209. VIEW #: 2. BACKLOGGED :: 214.667%! ~~ 
01:02:32.385 WARN  Total activation time: 79 
01:02:32.385 WARN  Total collision time: 230 
01:02:32.385 WARN  Total cycle time: 335 
01:02:32.386 WARN  Total player update time: 128 
01:02:32.386 WARN  Total lb+minimap processing time: 244 
01:02:32.386 WARN  Total entity physics calculation time: 13 
01:02:32.386 WARN  Total entity life+thought cycle time: 116 
01:02:32.386 WARN  Total entity selfie-taking time: 22 
01:02:32.386 WARN  Total time: 1167 
01:02:33.700 WARN  ~~ LOOPS: 9. ENTITY #: 2481//1427. VIEW #: 2. BACKLOGGED :: 215.000%! ~~ 
01:02:33.700 WARN  Total activation time: 86 
01:02:33.700 WARN  Total collision time: 207 
01:02:33.700 WARN  Total cycle time: 352 
01:02:33.700 WARN  Total player update time: 157 
01:02:33.701 WARN  Total lb+minimap processing time: 276 
01:02:33.701 WARN  Total entity physics calculation time: 13 
01:02:33.701 WARN  Total entity life+thought cycle time: 108 
01:02:33.701 WARN  Total entity selfie-taking time: 37 
01:02:33.701 WARN  Total time: 1236 
01:02:35.100 WARN  ~~ LOOPS: 7. ENTITY #: 2606//1453. VIEW #: 2. BACKLOGGED :: 273.429%! ~~ 
01:02:35.100 WARN  Total activation time: 73 
01:02:35.100 WARN  Total collision time: 161 
01:02:35.100 WARN  Total cycle time: 404 
01:02:35.100 WARN  Total player update time: 125 
01:02:35.100 WARN  Total lb+minimap processing time: 352 
01:02:35.100 WARN  Total entity physics calculation time: 7 
01:02:35.100 WARN  Total entity life+thought cycle time: 122 
01:02:35.101 WARN  Total entity selfie-taking time: 19 
01:02:35.101 WARN  Total time: 1263 
01:02:36.483 WARN  ~~ LOOPS: 7. ENTITY #: 2531//1471. VIEW #: 2. BACKLOGGED :: 294.857%! ~~ 
01:02:36.483 WARN  Total activation time: 73 
01:02:36.483 WARN  Total collision time: 165 
01:02:36.483 WARN  Total cycle time: 450 
01:02:36.483 WARN  Total player update time: 91 
01:02:36.483 WARN  Total lb+minimap processing time: 380 
01:02:36.483 WARN  Total entity physics calculation time: 15 
01:02:36.483 WARN  Total entity life+thought cycle time: 90 
01:02:36.483 WARN  Total entity selfie-taking time: 17 
01:02:36.483 WARN  Total time: 1281 
01:02:37.876 WARN  ~~ LOOPS: 7. ENTITY #: 2333//1470. VIEW #: 2. BACKLOGGED :: 326.571%! ~~ 
01:02:37.876 WARN  Total activation time: 73 
01:02:37.876 WARN  Total collision time: 171 
01:02:37.876 WARN  Total cycle time: 518 
01:02:37.876 WARN  Total player update time: 136 
01:02:37.876 WARN  Total lb+minimap processing time: 320 
01:02:37.877 WARN  Total entity physics calculation time: 17 
01:02:37.877 WARN  Total entity life+thought cycle time: 106 
01:02:37.877 WARN  Total entity selfie-taking time: 35 
01:02:37.877 WARN  Total time: 1376 
01:02:39.358 WARN  ~~ LOOPS: 8. ENTITY #: 2435//1457. VIEW #: 2. BACKLOGGED :: 273.375%! ~~ 
01:02:39.358 WARN  Total activation time: 82 
01:02:39.359 WARN  Total collision time: 214 
01:02:39.359 WARN  Total cycle time: 433 
01:02:39.359 WARN  Total player update time: 115 
01:02:39.359 WARN  Total lb+minimap processing time: 356 
01:02:39.359 WARN  Total entity physics calculation time: 18 
01:02:39.359 WARN  Total entity life+thought cycle time: 105 
01:02:39.359 WARN  Total entity selfie-taking time: 36 
01:02:39.359 WARN  Total time: 1359 
01:02:40.755 WARN  ~~ LOOPS: 8. ENTITY #: 2467//1459. VIEW #: 2. BACKLOGGED :: 270.000%! ~~ 
01:02:40.755 WARN  Total activation time: 90 
01:02:40.755 WARN  Total collision time: 197 
01:02:40.755 WARN  Total cycle time: 433 
01:02:40.755 WARN  Total player update time: 141 
01:02:40.755 WARN  Total lb+minimap processing time: 307 
01:02:40.756 WARN  Total entity physics calculation time: 14 
01:02:40.756 WARN  Total entity life+thought cycle time: 95 
01:02:40.756 WARN  Total entity selfie-taking time: 25 
01:02:40.756 WARN  Total time: 1302 
01:02:42.105 WARN  ~~ LOOPS: 7. ENTITY #: 2272//1326. VIEW #: 2. BACKLOGGED :: 240.429%! ~~ 
01:02:42.105 WARN  Total activation time: 75 
01:02:42.105 WARN  Total collision time: 129 
01:02:42.105 WARN  Total cycle time: 357 
01:02:42.105 WARN  Total player update time: 130 
01:02:42.105 WARN  Total lb+minimap processing time: 376 
01:02:42.106 WARN  Total entity physics calculation time: 10 
01:02:42.106 WARN  Total entity life+thought cycle time: 66 
01:02:42.106 WARN  Total entity selfie-taking time: 20 
01:02:42.106 WARN  Total time: 1163 
01:02:43.343 WARN  ~~ LOOPS: 9. ENTITY #: 1928//1036. VIEW #: 2. BACKLOGGED :: 206.333%! ~~ 
01:02:43.343 WARN  Total activation time: 72 
01:02:43.343 WARN  Total collision time: 102 
01:02:43.344 WARN  Total cycle time: 445 
01:02:43.344 WARN  Total player update time: 70 
01:02:43.344 WARN  Total lb+minimap processing time: 257 
01:02:43.344 WARN  Total entity physics calculation time: 19 
01:02:43.344 WARN  Total entity life+thought cycle time: 59 
01:02:43.344 WARN  Total entity selfie-taking time: 21 
01:02:43.344 WARN  Total time: 1045 
01:02:44.489 WARN  ~~ LOOPS: 11. ENTITY #: 1458//635. VIEW #: 2. BACKLOGGED :: 165.000%! ~~ 
01:02:44.489 WARN  Total activation time: 75 
01:02:44.489 WARN  Total collision time: 71 
01:02:44.489 WARN  Total cycle time: 459 
01:02:44.489 WARN  Total player update time: 67 
01:02:44.489 WARN  Total lb+minimap processing time: 162 
01:02:44.489 WARN  Total entity physics calculation time: 10 
01:02:44.489 WARN  Total entity life+thought cycle time: 64 
01:02:44.489 WARN  Total entity selfie-taking time: 17 
01:02:44.489 WARN  Total time: 925 
03:06:16.887 WARN  ~~ LOOPS: 13. ENTITY #: 962//377. VIEW #: 2. BACKLOGGED :: 128.538%! ~~ 
03:06:16.887 WARN  Total activation time: 59 
03:06:16.887 WARN  Total collision time: 83 
03:06:16.887 WARN  Total cycle time: 415 
03:06:16.887 WARN  Total player update time: 24 
03:06:16.888 WARN  Total lb+minimap processing time: 7 
03:06:16.888 WARN  Total entity physics calculation time: 6 
03:06:16.888 WARN  Total entity life+thought cycle time: 200 
03:06:16.888 WARN  Total entity selfie-taking time: 10 
03:06:16.888 WARN  Total time: 804 
03:06:17.974 WARN  ~~ LOOPS: 10. ENTITY #: 1091//709. VIEW #: 2. BACKLOGGED :: 210.000%! ~~ 
03:06:17.974 WARN  Total activation time: 48 
03:06:17.974 WARN  Total collision time: 112 
03:06:17.974 WARN  Total cycle time: 540 
03:06:17.974 WARN  Total player update time: 69 
03:06:17.975 WARN  Total lb+minimap processing time: 10 
03:06:17.975 WARN  Total entity physics calculation time: 9 
03:06:17.975 WARN  Total entity life+thought cycle time: 159 
03:06:17.975 WARN  Total entity selfie-taking time: 11 
03:06:17.975 WARN  Total time: 958 
03:06:19.077 WARN  ~~ LOOPS: 11. ENTITY #: 1692//832. VIEW #: 2. BACKLOGGED :: 188.455%! ~~ 
03:06:19.077 WARN  Total activation time: 70 
03:06:19.077 WARN  Total collision time: 185 
03:06:19.077 WARN  Total cycle time: 436 
03:06:19.077 WARN  Total player update time: 74 
03:06:19.077 WARN  Total lb+minimap processing time: 17 
03:06:19.077 WARN  Total entity physics calculation time: 7 
03:06:19.077 WARN  Total entity life+thought cycle time: 178 
03:06:19.078 WARN  Total entity selfie-taking time: 14 
03:06:19.078 WARN  Total time: 981 
03:06:20.183 WARN  ~~ LOOPS: 7. ENTITY #: 1943//1403. VIEW #: 2. BACKLOGGED :: 362.571%! ~~ 
03:06:20.183 WARN  Total activation time: 53 
03:06:20.183 WARN  Total collision time: 284 
03:06:20.183 WARN  Total cycle time: 509 
03:06:20.183 WARN  Total player update time: 74 
03:06:20.183 WARN  Total lb+minimap processing time: 24 
03:06:20.184 WARN  Total entity physics calculation time: 6 
03:06:20.184 WARN  Total entity life+thought cycle time: 131 
03:06:20.184 WARN  Total entity selfie-taking time: 48 
03:06:20.184 WARN  Total time: 1129 
03:06:21.235 WARN  ~~ LOOPS: 6. ENTITY #: 1094//783. VIEW #: 2. BACKLOGGED :: 413.500%! ~~ 
03:06:21.235 WARN  Total activation time: 36 
03:06:21.235 WARN  Total collision time: 80 
03:06:21.235 WARN  Total cycle time: 711 
03:06:21.235 WARN  Total player update time: 48 
03:06:21.235 WARN  Total lb+minimap processing time: 22 
03:06:21.235 WARN  Total entity physics calculation time: 4 
03:06:21.235 WARN  Total entity life+thought cycle time: 72 
03:06:21.235 WARN  Total entity selfie-taking time: 8 
03:06:21.235 WARN  Total time: 981 
03:06:22.256 WARN  ~~ LOOPS: 15. ENTITY #: 1069//661. VIEW #: 2. BACKLOGGED :: 102.000%! ~~ 
03:06:22.256 WARN  Total activation time: 49 
03:06:22.256 WARN  Total collision time: 125 
03:06:22.256 WARN  Total cycle time: 336 
03:06:22.256 WARN  Total player update time: 69 
03:06:22.256 WARN  Total lb+minimap processing time: 10 
03:06:22.256 WARN  Total entity physics calculation time: 12 
03:06:22.256 WARN  Total entity life+thought cycle time: 107 
03:06:22.256 WARN  Total entity selfie-taking time: 24 
03:06:22.256 WARN  Total time: 732 
03:06:23.289 WARN  ~~ LOOPS: 13. ENTITY #: 1453//1001. VIEW #: 2. BACKLOGGED :: 133.846%! ~~ 
03:06:23.289 WARN  Total activation time: 61 
03:06:23.289 WARN  Total collision time: 288 
03:06:23.289 WARN  Total cycle time: 231 
03:06:23.289 WARN  Total player update time: 46 
03:06:23.289 WARN  Total lb+minimap processing time: 16 
03:06:23.289 WARN  Total entity physics calculation time: 13 
03:06:23.289 WARN  Total entity life+thought cycle time: 110 
03:06:23.289 WARN  Total entity selfie-taking time: 21 
03:06:23.289 WARN  Total time: 786 
03:06:24.336 WARN  ~~ LOOPS: 9. ENTITY #: 1481//1231. VIEW #: 2. BACKLOGGED :: 235.667%! ~~ 
03:06:24.336 WARN  Total activation time: 46 
03:06:24.336 WARN  Total collision time: 328 
03:06:24.336 WARN  Total cycle time: 333 
03:06:24.336 WARN  Total player update time: 155 
03:06:24.337 WARN  Total lb+minimap processing time: 39 
03:06:24.337 WARN  Total entity physics calculation time: 8 
03:06:24.337 WARN  Total entity life+thought cycle time: 100 
03:06:24.337 WARN  Total entity selfie-taking time: 18 
03:06:24.337 WARN  Total time: 1027 
03:06:25.376 WARN  ~~ LOOPS: 11. ENTITY #: 1468//1064. VIEW #: 2. BACKLOGGED :: 178.909%! ~~ 
03:06:25.376 WARN  Total activation time: 62 
03:06:25.377 WARN  Total collision time: 260 
03:06:25.377 WARN  Total cycle time: 334 
03:06:25.377 WARN  Total player update time: 42 
03:06:25.377 WARN  Total lb+minimap processing time: 18 
03:06:25.377 WARN  Total entity physics calculation time: 4 
03:06:25.377 WARN  Total entity life+thought cycle time: 106 
03:06:25.377 WARN  Total entity selfie-taking time: 23 
03:06:25.377 WARN  Total time: 849 
03:06:26.423 WARN  ~~ LOOPS: 12. ENTITY #: 1412//951. VIEW #: 2. BACKLOGGED :: 160.000%! ~~ 
03:06:26.424 WARN  Total activation time: 51 
03:06:26.424 WARN  Total collision time: 242 
03:06:26.424 WARN  Total cycle time: 347 
03:06:26.424 WARN  Total player update time: 58 
03:06:26.424 WARN  Total lb+minimap processing time: 15 
03:06:26.424 WARN  Total entity physics calculation time: 11 
03:06:26.424 WARN  Total entity life+thought cycle time: 95 
03:06:26.424 WARN  Total entity selfie-taking time: 10 
03:06:26.424 WARN  Total time: 829 
03:06:27.514 WARN  ~~ LOOPS: 11. ENTITY #: 1489//1044. VIEW #: 2. BACKLOGGED :: 197.182%! ~~ 
03:06:27.514 WARN  Total activation time: 63 
03:06:27.514 WARN  Total collision time: 356 
03:06:27.514 WARN  Total cycle time: 304 
03:06:27.514 WARN  Total player update time: 43 
03:06:27.514 WARN  Total lb+minimap processing time: 17 
03:06:27.514 WARN  Total entity physics calculation time: 9 
03:06:27.514 WARN  Total entity life+thought cycle time: 118 
03:06:27.514 WARN  Total entity selfie-taking time: 19 
03:06:27.515 WARN  Total time: 929 
03:06:28.563 WARN  ~~ LOOPS: 9. ENTITY #: 1513//1142. VIEW #: 2. BACKLOGGED :: 235.000%! ~~ 
03:06:28.563 WARN  Total activation time: 48 
03:06:28.564 WARN  Total collision time: 355 
03:06:28.564 WARN  Total cycle time: 302 
03:06:28.564 WARN  Total player update time: 68 
03:06:28.564 WARN  Total lb+minimap processing time: 49 
03:06:28.564 WARN  Total entity physics calculation time: 7 
03:06:28.564 WARN  Total entity life+thought cycle time: 64 
03:06:28.564 WARN  Total entity selfie-taking time: 12 
03:06:28.564 WARN  Total time: 905 
03:06:29.683 WARN  ~~ LOOPS: 7. ENTITY #: 1646//1349. VIEW #: 2. BACKLOGGED :: 341.143%! ~~ 
03:06:29.683 WARN  Total activation time: 48 
03:06:29.683 WARN  Total collision time: 456 
03:06:29.683 WARN  Total cycle time: 292 
03:06:29.683 WARN  Total player update time: 144 
03:06:29.684 WARN  Total lb+minimap processing time: 25 
03:06:29.684 WARN  Total entity physics calculation time: 8 
03:06:29.684 WARN  Total entity life+thought cycle time: 136 
03:06:29.684 WARN  Total entity selfie-taking time: 17 
03:06:29.684 WARN  Total time: 1126 
03:06:30.859 WARN  ~~ LOOPS: 7. ENTITY #: 1934//1458. VIEW #: 2. BACKLOGGED :: 369.429%! ~~ 
03:06:30.860 WARN  Total activation time: 73 
03:06:30.860 WARN  Total collision time: 604 
03:06:30.860 WARN  Total cycle time: 185 
03:06:30.860 WARN  Total player update time: 160 
03:06:30.860 WARN  Total lb+minimap processing time: 27 
03:06:30.860 WARN  Total entity physics calculation time: 9 
03:06:30.860 WARN  Total entity life+thought cycle time: 75 
